1,58
1,46
3,22
3,23
7,42
13,23
13,14
13,52
14,15
15,29
15,41
22,34
22,23
22,65
23,67
29,41
29,55
29,15
29,42
34,46
34,22
41,52
41,29
42,7
42,72
46,1
46,58
46,34
46,78
52,67
52,41
52,13
52,86
55,29
55,89
58,46
58,74
58,77
63,34
63,79
63,100
63,65
65,67
65,82
65,22
67,52
67,82
67,65
72,42
72,105
72,107
74,58
74,94
77,58
77,94
77,78
77,124
78,46
78,79
79,63
82,65
82,100
82,67
82,140
86,102
86,52
86,87
86,116
87,41
87,86
87,105
89,55
89,105
93,94
94,77
100,82
100,111
102,127
102,67
102,86
105,118
105,107
105,87
107,72
107,161
111,100
111,124
116,127
116,142
116,118
118,135
122,144
122,123
123,124
123,144
124,153
127,133
127,116
133,140
133,157
135,159
135,161
140,154
140,156
140,133
140,82
142,116
142,157
142,159
144,122
144,123
144,163
153,124
153,180
153,184
153,154
154,140
154,156
156,157
157,133
157,185
159,142
159,135
159,161
159,187
159,199
161,135
161,107
161,199
163,144
163,176
163,191
165,191
165,123
165,180
176,190
180,165
180,190
180,153
180,184
184,153
184,185
185,187
190,191
199,159
199,161
