1,9
1,8
2,20
2,10
3,11
3,12
3,4
4,13
5,15
5,16
6,29
6,7
7,17
8,18
8,19
9,19
9,20
10,21
10,11
11,22
12,23
13,23
13,14
13,24
14,25
14,15
15,26
15,16
16,28
16,29
17,29
17,30
18,43
18,31
19,32
20,22
20,33
21,33
22,34
22,35
22,23
24,37
24,38
25,38
25,39
26,39
26,27
27,28
27,40
28,41
29,41
29,42
30,42
31,43
31,44
32,44
32,33
32,45
33,46
34,47
34,48
35,48
35,36
35,65
36,49
37,36
37,50
38,50
38,51
39,51
39,52
40,52
40,41
40,53
41,54
42,72
42,56
43,57
44,58
45,58
45,59
45,60
45,46
46,61
47,62
48,62
48,63
49,66
49,50
51,52
51,68
52,69
53,54
53,69
54,55
54,70
55,71
56,91
57,58
58,74
58,59
59,75
59,76
60,76
60,61
61,62
61,78
62,79
63,79
63,64
63,80
64,65
64,81
65,66
65,82
66,82
66,67
67,68
67,84
68,69
68,85
69,86
70,71
70,87
71,72
71,89
72,90
72,91
73,92
73,74
74,92
74,75
75,94
76,77
77,95
77,78
77,96
78,97
78,79
79,98
79,63
80,99
80,100
81,82
81,100
82,101
83,101
83,102
84,85
85,103
86,103
86,104
87,88
88,117
89,105
90,91
90,105
91,105
91,107
92,93
93,94
94,95
95,122
96,97
96,109
97,98
97,109
98,99
98,110
99,110
99,112
100,101
100,112
100,113
101,114
102,115
102,103
104,116
105,118
105,106
106,107
107,119
109,110
109,124
110,111
111,124
111,112
112,125
113,125
113,114
114,115
114,132
114,126
115,126
115,127
116,127
116,128
116,117
117,129
117,118
118,119
119,136
120,144
120,121
121,145
121,122
122,146
122,123
123,137
123,148
123,149
123,124
124,138
125,131
126,127
126,140
127,133
127,134
128,134
128,129
128,142
129,142
129,143
129,135
130,131
130,139
131,114
132,140
133,140
133,141
134,141
134,142
135,143
135,161
135,136
136,162
137,147
138,150
138,152
139,153
139,154
139,140
140,154
140,156
141,142
141,158
142,158
142,159
142,143
143,160
143,159
144,145
144,177
145,146
146,163
146,147
147,164
148,164
148,149
149,150
149,165
150,151
151,152
151,165
151,166
152,153
153,166
153,154
153,167
154,155
155,167
155,168
155,156
156,157
156,169
157,170
157,158
158,171
159,172
159,160
159,188
160,161
160,173
161,174
162,175
163,177
164,178
164,179
165,179
165,180
166,181
166,183
167,183
167,168
168,184
169,184
170,171
170,185
171,172
171,186
171,198
172,187
173,188
173,200
173,174
174,175
175,200
176,177
176,189
178,189
178,191
179,191
180,181
180,193
181,182
181,193
182,183
182,195
183,196
184,196
184,197
184,185
185,186
186,198
187,198
187,188
188,199
188,173
188,199
189,190
190,191
190,192
191,192
192,194
193,194
194,195
195,197
196,197
198,199
199,200
